# THALASSA - GRAVITY FIELD FILE
# Contains normalized spherical harmonics coefficients and physical constants.
# Body:                              Earth
# Model:                             EGM-GOC-2 (static)
# Max degree:                        15
# Max order:                         15
# GM [km^3/s^2]:                     3.986004414498200E+05
# Ellipsoid semi-major axis [km]:    6.378136460000000E+03
# 1/flattening:                      0.298257650000000E+03
# Angular velocity [rad/s]:          7.292115855306587E-05
# Normalized spherical harmonics coefficients:
#l  m                         C                        S
 1  0   0.00000000000000000E+00  0.00000000000000000E+00
 1  1   0.00000000000000000E+00  0.00000000000000000E+00
 2  0  -4.84165115570149964E-04  0.00000000000000000E+00
 2  1  -1.62865090839200010E-10  1.32488349710740023E-09
 2  2   2.43931947200109987E-06 -1.40027653068339989E-06
 3  0   9.58574916471960067E-07  0.00000000000000000E+00
 3  1   2.03030504129200003E-06  2.48114421078300003E-07
 3  2   9.04829136478199887E-07 -6.19003743363039958E-07
 3  3   7.21250546079059989E-07  1.41418152213550012E-06
 4  0   5.39787841725119966E-07  0.00000000000000000E+00
 4  1  -5.36343247631930118E-07 -4.73269161803060002E-07
 4  2   3.50399002591810003E-07  6.62549827142449999E-07
 4  3   9.90928509450720086E-07 -2.00989439816469992E-07
 4  4  -1.88498175001929962E-07  3.08813068082909950E-07
 5  0   6.72043988903809951E-08  0.00000000000000000E+00
 5  1  -6.24932133877589985E-08 -9.40725938682609998E-08
 5  2   6.52143454677389874E-07 -3.23210111731519967E-07
 5  3  -4.51511011108249976E-07 -2.14682504162569966E-07
 5  4  -2.95250230581819931E-07  4.97670135001109953E-08
 5  5   1.74821870652709964E-07 -6.69334735242999984E-07
 6  0  -1.49852403801750000E-07  0.00000000000000000E+00
 6  1  -7.56866003559169972E-08  2.60511562262779991E-08
 6  2   4.94206417009469989E-08 -3.73821075820309988E-07
 6  3   5.75566057235219913E-08  8.83301620971509960E-09
 6  4  -8.64306483485220113E-08 -4.71383591306820036E-07
 6  5  -2.67136907930019940E-07 -5.36448630810149926E-07
 6  6   9.45004701225559763E-09 -2.37316123198219979E-07
 7  0   9.31136691833619862E-08  0.00000000000000000E+00
 7  1   2.79508443066689984E-07  9.40920100116089865E-08
 7  2   3.30550778424119953E-07  9.28574268794819911E-08
 7  3   2.49205047820660072E-07 -2.18155725614730025E-07
 7  4  -2.75218987316229987E-07 -1.24130849922700012E-07
 7  5   1.88031361931269944E-09  1.80868524705729962E-08
 7  6  -3.58768043664719982E-07  1.51803007958109988E-07
 7  7   1.55380796570930010E-09  2.42338577839470000E-08
 8  0   5.04645062929899971E-08  0.00000000000000000E+00
 8  1   2.31266760595709985E-08  5.95184653807259937E-08
 8  2   7.81803036923919982E-08  6.54085182482039987E-08
 8  3  -1.95291395582120007E-08 -8.64060980012450038E-08
 8  4  -2.43614853581260026E-07  7.03332814689159958E-08
 8  5  -2.55481786306340009E-08  8.89628175493920003E-08
 8  6  -6.60225584481350029E-08  3.09201303717110009E-07
 8  7   6.71717642353439934E-08  7.49172937543430045E-08
 8  8  -1.24019660067500008E-07  1.20576575351469997E-07
 9  0   2.62076310144060025E-08  0.00000000000000000E+00
 9  1   1.44789851120169971E-07  2.32260387789879992E-08
 9  2   2.13260500598880000E-08 -3.23185911215799975E-08
 9  3  -1.58176522632420012E-07 -7.24802064962160052E-08
 9  4  -8.40690729860100002E-09  2.02839534047780002E-08
 9  5  -1.68464340551810004E-08 -5.40158101026019986E-08
 9  6   6.27405844852680132E-08  2.23150992089570037E-07
 9  7  -1.17893967278960014E-07 -9.66857230578669987E-08
 9  8   1.88131287885960002E-07 -3.01788655396959958E-09
 9  9  -4.77631150327469911E-08  9.67838668550829683E-08
10  0   5.07619144933029959E-08  0.00000000000000000E+00
10  1   8.31377655244670060E-08 -1.31490234070420013E-07
10  2  -9.05379181888279897E-08 -5.17640704384129992E-08
10  3  -6.65714787860540076E-09 -1.52464570503980009E-07
10  4  -8.60476966614850065E-08 -7.92196333307020008E-08
10  5  -4.98807522466949930E-08 -5.01193067068409926E-08
10  6  -3.75536858281139987E-08 -7.94466896888680005E-08
10  7   8.32668698651869826E-09 -3.00992574912439960E-09
10  8   4.06597030553239994E-08 -9.17884855831079896E-08
10  9   1.25472687090190008E-07 -3.79033276292499970E-08
10 10   1.00641644078720001E-07 -2.37009379223079957E-08
11  0  -5.02353915950459941E-08  0.00000000000000000E+00
11  1   1.08086773054859999E-08 -3.05015057985050021E-08
11  2   2.01776062421779996E-08 -9.72562719254969819E-08
11  3  -3.40952277559529947E-08 -1.51248021331349974E-07
11  4  -3.92860747354569919E-08 -6.47368091591109979E-08
11  5   3.85709145912889984E-08  5.04009940243290036E-08
11  6  -9.97252328462319924E-10  3.38952421888790012E-08
11  7   4.40027536154890111E-09 -8.97900275372180115E-08
11  8  -6.21033148510460019E-09  2.45578902958449994E-08
11  9  -3.12425326561909982E-08  4.20400762478680014E-08
11 10  -5.22436712284020029E-08 -1.84658179028809985E-08
